StdOrder,RunOrder,CenterPt,Blocks,lr,weight_decay,factor,criterion
8,1,1,1,0.001,0.001,0.1,nn.MSELoss()
2,2,1,1,0.001,0.0001,0.01,nn.MSELoss()
16,3,1,1,0.001,0.001,0.1,nn.BCELoss()
6,4,1,1,0.001,0.0001,0.1,nn.MSELoss()
13,5,1,1,0.0001,0.0001,0.1,nn.BCELoss()
1,6,1,1,0.0001,0.0001,0.01,nn.MSELoss()
3,7,1,1,0.0001,0.001,0.01,nn.MSELoss()
4,8,1,1,0.001,0.001,0.01,nn.MSELoss()
10,9,1,1,0.001,0.0001,0.01,nn.BCELoss()
7,10,1,1,0.0001,0.001,0.1,nn.MSELoss()
14,11,1,1,0.001,0.0001,0.1,nn.BCELoss()
11,12,1,1,0.0001,0.001,0.01,nn.BCELoss()
12,13,1,1,0.001,0.001,0.01,nn.BCELoss()
9,14,1,1,0.0001,0.0001,0.01,nn.BCELoss()
15,15,1,1,0.0001,0.001,0.1,nn.BCELoss()
5,16,1,1,0.0001,0.0001,0.1,nn.MSELoss()
